id	name_id	event_type	requested_by	requestor_comment	request_date	status	processed_by	processor_comment	process_date	name_category_id	name_code	name_description	version
1		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ABS	Absorber	0
2		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AC	Air Compressor	0
3		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AD	Air Door	0
4		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AF	After Filter	0
5		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AFCV	Automatic Flow Control Valve	0
6		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AFMS	Air Flow Measuring Station	0
7		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AHU	Air Handling Unit	0
8		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ALMS	Acid Leak Monitoring System	0
9		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AND	Anode	0
10		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AP	Aperture	0
11		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	AS	Air Separator	0
12		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ATP	Attenuation Plate (sieve to reduce beam intensity)	0
13		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	ATU	Air Terminal Unit	0
14		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BCL	B Coil (e.g. Helmholtz coils)	0
15		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BCM	Beam Current Monitor	0
16		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BCS	Beam Control System	0
17		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BD	Beam Dump	0
18		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BEAM	Beam physics parameters	0
19		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BG	Bourdon Gauge	0
20		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BLD	Building	0
21		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BLM	Beam Loss Monitor	0
22		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BPM	Beam Position Monitor	0
23		i	system	initial	'2013-01-01 00:00:00'	p	system	initial	'2013-01-30 00:00:00'	device-type	BPMH	Beam Position Monitor, Horizontal	0
